gloss,video_id
book,69241
book,07069
book,07068
book,07070
book,07099
book,07074
drink,69302
drink,65539
drink,17710
drink,17733
drink,65540
drink,17734
drink,17711
drink,17712
drink,17713
drink,17709
drink,17720
drink,17721
drink,17722
drink,17723
drink,17724
computer,12328
computer,12312
computer,12311
computer,12338
computer,12313
computer,12314
computer,12315
computer,12316
computer,12317
computer,12318
computer,12319
computer,12320
computer,12326
computer,12327
before,05728
before,05749
before,05750
before,05729
before,05730
before,65167
before,05731
before,05732
before,05733
before,05734
before,05727
before,05739
before,05740
before,05741
before,05742
before,05743
chair,09848
chair,09869
chair,09849
chair,09850
chair,09851
chair,65328
chair,09854
go,69345
go,24955
go,24956
go,24941
go,24960
go,24961
go,24962
go,65824
go,24973
go,24943
go,24946
go,24947
go,24940
go,24952
go,24954
clothes,11310
clothes,11330
clothes,11311
clothes,11313
clothes,11309
who,69534
who,63242
who,63226
who,63227
who,63228
who,63229
who,63230
who,63231
who,66778
who,63232
who,66779
who,63225
who,63236
who,63237
candy,08929
candy,08916
candy,08917
candy,08918
candy,08919
candy,08920
candy,08921
candy,65298
candy,08924
candy,65299
candy,65300
candy,08915
candy,08925
cousin,65415
cousin,13647
cousin,13648
cousin,13631
cousin,13632
cousin,13633
cousin,13634
cousin,13635
cousin,13636
cousin,13630
cousin,13640
cousin,13641
cousin,13642
cousin,13646
deaf,14882
deaf,14903
deaf,14883
deaf,14884
deaf,14885
deaf,14886
deaf,65445
deaf,14887
deaf,14888
deaf,14893
deaf,14894
fine,21870
fine,21890
fine,21891
fine,21871
fine,21872
fine,21869
fine,21874
fine,21878
fine,21883
help,69364
help,27221
help,27206
help,27207
help,27208
help,27209
help,65890
help,27213
help,27214
help,65891
help,65889
help,27215
help,27216
help,27217
no,69411
no,38525
no,38544
no,38527
no,38529
no,38530
no,38532
no,38533
no,66183
no,38524
no,38534
thin,57948
thin,57949
thin,57934
thin,57953
thin,57935
thin,57936
thin,57937
thin,66606
thin,57939
thin,57940
thin,57941
thin,57942
thin,66607
thin,57933
thin,57943
thin,57947
walk,62175
walk,62159
walk,62160
walk,62163
walk,62164
walk,66743
walk,66742
walk,62158
walk,62168
walk,62169
walk,62170
year,64211
year,64224
year,64210
year,64212
year,66818
year,64213
year,66816
year,64209
year,64219
year,64218
yes,69546
yes,64287
yes,64284
yes,64291
yes,64292
yes,64293
yes,66820
yes,64280
yes,64300
yes,64281
yes,64288
yes,64283
all,69206
all,02003
all,01987
all,01988
all,01991
all,01992
all,65043
all,01986
black,69236
black,06472
black,06473
black,06474
black,06476
black,06477
black,06478
black,65200
black,06471
black,06486
cool,69281
cool,65403
cool,13213
cool,13197
cool,13216
cool,13217
cool,13198
cool,13199
cool,13200
cool,13201
cool,65402
cool,13202
cool,13203
cool,13196
cool,13208
cool,13209
finish,21942
finish,21943
finish,21944
finish,21945
finish,21949
finish,21950
finish,65721
finish,21941
finish,21951
hot,69368
hot,28125
hot,28108
hot,28109
hot,28110
hot,28111
hot,28112
hot,28115
hot,28116
hot,28107
like,69389
like,33266
like,33285
like,33267
like,33286
like,33268
like,33269
like,33270
like,33273
like,33274
many,69396
many,34823
many,34824
many,34825
many,34826
many,34827
many,34830
many,34831
many,34832
many,34839
mother,69402
mother,36946
mother,36930
mother,36931
mother,36932
mother,36933
mother,36936
mother,36937
mother,66147
mother,66146
mother,36929
now,69413
now,38994
now,38999
now,39000
now,38990
now,39006
now,38991
now,38995
now,38997
orange,69422
orange,40115
orange,40116
orange,40117
orange,40118
orange,40119
orange,40121
orange,66246
orange,40129
orange,40130
table,56557
table,56579
table,56558
table,56556
table,56563
thanksgiving,57628
thanksgiving,57647
thanksgiving,57629
thanksgiving,57630
thanksgiving,57631
thanksgiving,57632
thanksgiving,57633
thanksgiving,57634
thanksgiving,57635
thanksgiving,57638
thanksgiving,57639
thanksgiving,57640
thanksgiving,57641
what,69531
what,62967
what,62968
what,62970
what,66769
what,62987
what,62964
what,62988
what,62975
what,62965
what,62979
what,62966
woman,63679
woman,63665
woman,63666
woman,63667
woman,63668
woman,63669
woman,63672
woman,63673
woman,66798
woman,66799
woman,63664
bed,05644
bed,05629
bed,05630
bed,05631
bed,05632
bed,05633
bed,05634
bed,05636
bed,65162
bed,05637
bed,65163
bed,65161
bed,05638
blue,69238
blue,06835
blue,06839
blue,65216
blue,06832
blue,06845
blue,06833
blue,06834
bowling,07389
bowling,07390
bowling,07391
bowling,07392
bowling,07393
bowling,07394
bowling,07397
bowling,65242
bowling,65241
bowling,07388
bowling,07398
bowling,07399
bowling,07400
can,69257
can,65294
can,08955
can,08935
can,08936
can,08937
can,08938
can,08942
can,08944
dog,69298
dog,17097
dog,17084
dog,17085
dog,17086
dog,17087
dog,17090
dog,17091
dog,65506
dog,65507
dog,17083
family,69316
family,20980
family,20981
family,20982
family,20983
family,20986
family,20987
family,65677
family,20978
family,20992
family,20979
fish,69325
fish,22130
fish,22114
fish,22115
fish,22116
fish,22117
fish,22120
fish,22121
fish,65731
fish,22113
graduate,25339
graduate,25322
graduate,25323
graduate,25324
graduate,25325
graduate,25326
graduate,65843
graduate,25329
graduate,25330
graduate,25321
hat,69359
hat,26713
hat,26712
hat,26739
hat,26741
hat,26714
hat,26715
hat,26717
hat,26719
hearing,65884
hearing,26972
hearing,26973
hearing,26974
hearing,26975
hearing,26976
hearing,26971
hearing,26980
kiss,31767
kiss,31750
kiss,31751
kiss,31752
kiss,31753
kiss,31755
kiss,31756
kiss,65996
kiss,31749
language,32156
language,32157
language,32158
language,32160
language,32163
language,66008
language,66007
language,32154
language,32167
language,32155
later,32337
later,32338
later,32320
later,32321
later,32322
later,32323
later,32324
later,32325
later,66015
later,32326
later,66014
later,32333
man,69395
man,34746
man,34733
man,34734
man,34736
man,34737
man,34738
man,66098
man,66099
man,66097
man,34732
man,34742
shirt,51057
shirt,51081
shirt,51056
shirt,51058
shirt,51059
shirt,51060
shirt,51061
shirt,51063
shirt,51064
shirt,51066
shirt,51067
shirt,51068
study,55364
study,55365
study,55366
study,55368
study,55369
study,66575
study,55361
study,55375
study,55362
study,55363
tall,56852
tall,56838
tall,56839
tall,56840
tall,56841
tall,56842
tall,56843
tall,56844
tall,66591
tall,56846
tall,66592
tall,56837
tall,56848
white,69533
white,63204
white,63205
white,63207
white,63208
white,63200
white,63214
white,63201
white,63202
white,63203
wrong,64087
wrong,64088
wrong,64090
wrong,64091
wrong,64084
wrong,64097
wrong,64085
wrong,64086
accident,00639
accident,00624
accident,00625
accident,00626
accident,00627
accident,00628
accident,00629
accident,00631
accident,00632
accident,65009
accident,00623
accident,00633
accident,00634
apple,69213
apple,03005
apple,03008
apple,65085
apple,65086
apple,65084
apple,02999
apple,03000
apple,03001
apple,03002
apple,03003
bird,69233
bird,06333
bird,06334
bird,06335
bird,06337
bird,65187
bird,06330
bird,06343
bird,06331
bird,06332
change,09966
change,09967
change,09950
change,09970
change,09953
change,09954
change,09955
change,09956
change,09957
change,09949
change,09960
change,09963
color,69274
color,11772
color,11773
color,11767
color,11780
color,11768
color,11769
color,11770
corn,69282
corn,13337
corn,13325
corn,13326
corn,13327
corn,13328
corn,13329
corn,65408
corn,65409
corn,13323
corn,13333
corn,13334
cow,69283
cow,13697
cow,13698
cow,13699
cow,13702
cow,13703
cow,13695
cow,13710
cow,13696
dance,14627
dance,65434
dance,14633
dance,14622
dance,14623
dance,14624
dance,14625
dark,69290
dark,14673
dark,14674
dark,14675
dark,14676
dark,14680
dark,65439
dark,65440
dark,14671
dark,14681
dark,14685
dark,14672
doctor,17015
doctor,17016
doctor,17017
doctor,17019
doctor,17020
doctor,65503
doctor,65504
doctor,17013
doctor,17026
doctor,17014
eat,69307
eat,18329
eat,65601
eat,18323
eat,18335
eat,18324
eat,18325
enjoy,19261
enjoy,19264
enjoy,65635
enjoy,19257
enjoy,19269
enjoy,19258
enjoy,19259
enjoy,19260
forget,65761
forget,22954
forget,22955
forget,22960
forget,22967
forget,22952
forget,22953
give,69343
give,24660
give,24638
give,24639
give,24640
give,24641
give,24636
give,24648
give,24649
give,24651
last,66010
last,32263
last,32248
last,32249
last,32250
last,32253
last,32254
last,32255
last,32246
last,32257
last,32260
last,32261
meet,35511
meet,35512
meet,35513
meet,35516
meet,35517
meet,35518
meet,66112
meet,35509
meet,35523
pink,69430
pink,42831
pink,42832
pink,42833
pink,42836
pink,66296
pink,42829
pink,42843
pink,42830
pizza,69431
pizza,42977
pizza,42958
pizza,42959
pizza,42960
pizza,42961
pizza,66297
pizza,42962
pizza,42956
pizza,42966
pizza,42967
pizza,42969
play,69433
play,43166
play,43170
play,43171
play,43173
play,43174
play,43179
play,43180
play,43167
play,43168
play,43169
school,69455
school,49602
school,49595
school,49606
school,49596
school,49597
school,49598
school,49599
school,49600
secretary,50037
secretary,50038
secretary,50039
secretary,50040
secretary,50041
secretary,50044
secretary,50045
secretary,66441
secretary,50046
secretary,50052
short,51221
short,51223
short,51224
short,51225
short,51226
short,51227
short,66469
short,51220
short,51231
short,51232
short,51233
short,51235
short,51236
time,69511
time,58502
time,58503
time,66644
time,58497
time,58508
time,58498
time,58499
want,69524
want,62246
want,62247
want,62248
want,62250
want,62251
want,62244
want,62259
want,62245
work,63806
work,63789
work,63790
work,63791
work,63792
work,63793
work,63795
work,66804
work,63788
work,63799
africa,01383
africa,01384
africa,01385
africa,01386
africa,01387
africa,01388
africa,01391
africa,65029
africa,01398
basketball,69225
basketball,05230
basketball,05231
basketball,05232
basketball,05233
basketball,05234
basketball,05238
basketball,65144
basketball,65145
basketball,05229
basketball,05239
basketball,05243
birthday,65192
birthday,06365
birthday,06359
birthday,06371
birthday,06360
birthday,06363
brown,69252
brown,07963
brown,07966
brown,65263
brown,07960
brown,07973
brown,07961
brown,07962
but,08429
but,08431
but,65278
but,08424
but,08437
but,08425
but,08426
cheat,10147
cheat,10166
cheat,10148
cheat,10149
cheat,65341
cheat,10151
cheat,65342
cheat,10157
cheat,10158
cheat,10159
city,69269
city,10895
city,10898
city,65362
city,65363
city,10892
city,10904
city,10893
city,10894
cook,13158
cook,13160
cook,13161
cook,13167
cook,13168
cook,13155
cook,13156
cook,13157
decide,15034
decide,15035
decide,15037
decide,15038
decide,65449
decide,65450
decide,15043
decide,15032
decide,15033
full,65792
full,23782
full,23771
full,23774
full,23775
full,23766
full,23776
full,23767
full,23768
full,23769
how,69370
how,28205
how,28210
how,28201
how,28211
how,28214
how,28202
how,28203
how,28204
jacket,30849
jacket,30831
jacket,30832
jacket,30833
jacket,30834
jacket,30835
jacket,30840
letter,66038
letter,32948
letter,32949
letter,32950
letter,32953
letter,32954
letter,32945
letter,32955
letter,32959
letter,32946
letter,32947
medicine,66111
medicine,35454
medicine,35455
medicine,35456
medicine,35458
medicine,35452
medicine,35467
medicine,35453
need,37886
need,37881
need,37894
need,37882
need,37883
need,37884
paint,40840
paint,40841
paint,40834
paint,40847
paint,40835
paint,40836
paint,40837
paper,41030
paper,41032
paper,41025
paper,41037
paper,41026
paper,41027
paper,41028
paper,41029
pull,69439
pull,45265
pull,45267
pull,66351
pull,45261
pull,45273
pull,45262
pull,45263
pull,45264
purple,69440
purple,45438
purple,66355
purple,45443
purple,45433
purple,45434
purple,45435
purple,45436
right,48105
right,48124
right,48126
right,48106
right,48107
right,48108
right,48109
right,48114
right,48115
same,49173
same,49175
same,49176
same,49178
same,49181
same,49182
same,49183
same,49188
same,49174
son,53273
son,53274
son,53275
son,66531
son,66532
son,53268
son,53279
son,53269
son,53270
son,53271
tell,57278
tell,57282
tell,57283
tell,57284
tell,57285
tell,57276
tell,57286
tell,57287
tell,57291
tell,57277
thursday,58362
thursday,58363
thursday,58365
thursday,58366
thursday,66637
thursday,66638
thursday,66639
thursday,66640
thursday,58370
thursday,58360
thursday,58361
visit,61807
visit,61808
visit,61809
visit,61810
visit,61812
visit,66731
visit,61819
visit,61805
visit,61806
wait,62113
wait,62098
wait,62100
wait,62101
wait,62102
wait,62103
wait,62106
wait,66740
wait,62097
wait,62107
water,62505
water,62506
water,66752
water,62499
water,62510
water,62500
water,62501
water,62502
water,62503
wife,63329
wife,63332
wife,66784
wife,66785
wife,63337
wife,63326
wife,63327
wife,63328
yellow,69545
yellow,64266
yellow,66819
yellow,64271
yellow,64261
yellow,64262
yellow,64263
yellow,64264
backpack,04618
backpack,04619
backpack,04620
backpack,04624
backpack,65123
backpack,04616
backpack,04631
backpack,04617
bar,65137
bar,05103
bar,05086
bar,05087
bar,05088
bar,05089
bar,05090
bar,05095
bar,05097
bar,05098
bar,05102
brother,69251
brother,07937
brother,07938
brother,07940
brother,65262
brother,07932
brother,07943
brother,07933
brother,07934
brother,07935
brother,07936
cat,69261
cat,09528
cat,09532
cat,09533
cat,65312
cat,65313
cat,09525
cat,09538
cat,09526
check,65343
check,10184
check,10185
check,10186
check,10187
check,10188
check,10190
check,10192
check,10183
check,10197
check,10199
class,69270
class,10976
class,65364
class,10967
class,10968
class,10969
class,10970
class,10972
class,10973
cry,14190
cry,14175
cry,14176
cry,14177
cry,14180
cry,14182
cry,14183
cry,65427
cry,14174
cry,14188
different,16195
different,16198
different,65480
different,16203
different,16191
different,16192
different,16193
different,16194
door,17327
door,17330
door,65520
door,17324
door,17336
door,17325
door,17326
green,69353
green,65854
green,25685
green,25695
green,25686
green,25687
green,25689
hair,26173
hair,26174
hair,26158
hair,26159
hair,26162
hair,26163
hair,65870
hair,26166
hair,26157
have,69360
have,26773
have,26766
have,26779
have,26767
have,26768
headache,26835
headache,26836
headache,26837
headache,26839
headache,26840
headache,65881
headache,26846
headache,26833
headache,26834
inform,29648
inform,29649
inform,29655
inform,65940
inform,29646
inform,29656
inform,29657
inform,29661
inform,29647
knife,31843
knife,31844
knife,31848
knife,66000
knife,31856
knife,31842
laugh,32398
laugh,32379
laugh,32380
laugh,32381
laugh,66016
laugh,32382
laugh,32383
laugh,32386
laugh,32377
laugh,32388
laugh,32389
learn,32608
learn,32612
learn,66024
learn,32604
learn,32616
learn,32605
learn,32606
learn,32607
movie,37126
movie,37125
movie,37152
movie,37127
movie,37129
rabbit,45837
rabbit,45838
rabbit,45839
rabbit,45840
rabbit,45842
rabbit,45843
rabbit,45851
rabbit,45836
read,46266
read,46276
read,46267
read,46268
read,46269
read,46272
red,69446
red,46737
red,46731
red,46742
red,46732
red,46733
red,46734
room,48509
room,48510
room,48511
room,48512
room,48513
room,48514
room,48516
room,66415
room,66416
room,48517
room,48521
run,48797
run,48798
run,48827
run,48800
run,48801
run,48809
run,48810
show,66473
show,51347
show,51348
show,51353
show,51345
show,51355
show,51356
show,51360
show,51346
sick,69470
sick,51517
sick,51502
sick,51503
sick,51504
sick,51507
sick,66475
sick,51501
snow,69481
snow,52862
snow,52863
snow,66519
snow,66518
snow,52857
snow,52867
snow,52858
snow,52859
snow,52860
take,69500
take,56698
take,56699
take,56700
take,56701
take,56692
take,56702
take,56704
take,56705
take,56693
take,56694
tea,57082
tea,57076
tea,57087
tea,57077
tea,57078
tea,57079
tea,57080
teacher,57044
teacher,57045
teacher,66593
teacher,57039
teacher,57051
teacher,57040
teacher,57041
teacher,57042
week,62746
week,62747
week,62748
week,66759
week,62740
week,62752
week,62741
week,62742
week,62743
why,63283
why,63284
why,63285
why,63287
why,63288
why,66781
why,63289
why,63292
why,63280
why,63281
why,63282
with,69539
with,63596
with,66795
with,63587
with,63588
with,63589
with,63590
with,63592
write,69544
write,64060
write,64061
write,64065
write,66815
write,64056
write,64068
write,64057
write,64058
write,64059
yesterday,64307
yesterday,64308
yesterday,64309
yesterday,64311
yesterday,66821
yesterday,66822
yesterday,64315
yesterday,64304
yesterday,64305
yesterday,64306
again,01466
again,65032
again,01460
again,01471
again,01461
again,01462
again,01463
again,01464
bad,69219
bad,04709
bad,04712
bad,04713
bad,04715
bad,04717
bad,65125
bad,04708
